date;trav;;;;;
1/18/2007;0.144178535;;;;;
1/19/2007;-0.359696842;;;;;
1/22/2007;1.392834011;;;;;
1/23/2007;0.161494819;;;;;
1/24/2007;0.859002901;;;;;
1/26/2007;0.690715841;;;;;
1/29/2007;-0.380216583;;;;;
1/30/2007;-1.237596157;;;;;
1/31/2007;0.638593215;;;;;
02/01/2007;0.825756237;;;;;
02/02/2007;0.237474627;;;;;
02/05/2007;0.267365757;;;;;
02/06/2007;0.445724613;;;;;
02/07/2007;0.106911497;;;;;
02/08/2007;-1.329109235;;;;;
02/09/2007;0.486657736;;;;;
02/12/2007;-1.022206362;;;;;
2/13/2007;-0.573751129;;;;;
2/14/2007;2.11743775;;;;;
2/15/2007;0.999083494;;;;;
2/16/2007;-0.049162457;;;;;
2/21/2007;-0.137066626;;;;;
2/22/2007;0.333380443;;;;;
2/23/2007;0.528272965;;;;;
2/26/2007;-0.664623812;;;;;
2/27/2007;0.297747995;;;;;
2/28/2007;-5.224495747;;;;;
03/01/2007;0.400775236;;;;;
03/02/2007;-0.211274833;;;;;
03/05/2007;-0.709524245;;;;;
03/06/2007;-0.724551433;;;;;
03/07/2007;1.162611143;;;;;
03/08/2007;-0.246576047;;;;;
03/09/2007;0.381511757;;;;;
03/12/2007;0.330520292;;;;;
3/13/2007;0.060847226;;;;;
3/14/2007;-0.877499209;;;;;
3/15/2007;0.284555005;;;;;
3/16/2007;-0.005650842;;;;;
3/19/2007;-0.341811961;;;;;
3/20/2007;0.644802397;;;;;
3/21/2007;0.411411968;;;;;
3/22/2007;0.853879872;;;;;
3/23/2007;-0.128882218;;;;;
3/26/2007;0.073892509;;;;;
3/27/2007;0.082753315;;;;;
3/28/2007;-0.354207677;;;;;
3/29/2007;-0.627313625;;;;;
3/30/2007;0.761432855;;;;;
04/02/2007;0.385249863;;;;;
04/03/2007;-0.188968637;;;;;
04/04/2007;0.672778908;;;;;
04/05/2007;0.261209583;;;;;
04/09/2007;0.097792951;;;;;
04/10/2007;0.235619884;;;;;
04/11/2007;0.385604546;;;;;
04/12/2007;-0.300951905;;;;;
4/13/2007;0.553313519;;;;;
4/16/2007;0.809444556;;;;;
4/17/2007;1.378932743;;;;;
4/18/2007;-0.205901514;;;;;
4/19/2007;-0.059701248;;;;;
4/20/2007;0.073857649;;;;;
4/23/2007;0.973533316;;;;;
4/24/2007;-0.36375704;;;;;
4/25/2007;-0.141921912;;;;;
4/26/2007;0.996284125;;;;;
4/27/2007;-0.98601258;;;;;
4/30/2007;0.257610863;;;;;
05/02/2007;-0.461778458;;;;;
05/03/2007;0.90193274;;;;;
05/04/2007;1.286060304;;;;;
05/07/2007;0.609978133;;;;;
05/08/2007;-0.523460088;;;;;
05/09/2007;-0.006873713;;;;;
05/10/2007;1.839848058;;;;;
05/11/2007;-1.629988747;;;;;
5/14/2007;0.877377292;;;;;
5/15/2007;-0.511366189;;;;;
5/16/2007;0.009546676;;;;;
5/17/2007;1.757303377;;;;;
5/18/2007;-0.127355699;;;;;
5/21/2007;0.567695429;;;;;
5/22/2007;0.452127644;;;;;
5/23/2007;-0.295675616;;;;;
5/24/2007;-0.577186939;;;;;
5/25/2007;-1.961782382;;;;;
5/28/2007;1.316450466;;;;;
5/29/2007;0.542920785;;;;;
5/30/2007;-0.458873126;;;;;
5/31/2007;0.957167128;;;;;
06/01/2007;-0.29750239;;;;;
06/04/2007;1.390788067;;;;;
06/05/2007;-0.191987923;;;;;
06/06/2007;-0.092664047;;;;;
06/08/2007;-1.380603245;;;;;
06/11/2007;0.31104703;;;;;
06/12/2007;0.523799244;;;;;
6/13/2007;-1.206515339;;;;;
6/14/2007;1.354491053;;;;;
6/15/2007;0.713774961;;;;;
6/18/2007;0.802424912;;;;;
6/19/2007;0.208529111;;;;;
6/20/2007;-0.0911769;;;;;
6/21/2007;-0.704685806;;;;;
6/22/2007;0.728421231;;;;;
6/25/2007;-0.459827525;;;;;
6/26/2007;-0.278756162;;;;;
6/27/2007;-0.250394039;;;;;
6/28/2007;0.405940052;;;;;
6/29/2007;0.005852505;;;;;
07/02/2007;0.380033468;;;;;
07/03/2007;1.575861151;;;;;
07/04/2007;0.467722348;;;;;
07/05/2007;-0.005929098;;;;;
07/06/2007;0.370212925;;;;;
07/10/2007;0.836386968;;;;;
07/11/2007;-0.923299301;;;;;
07/12/2007;0.770261804;;;;;
7/13/2007;2.044962002;;;;;
7/16/2007;0.040592796;;;;;
7/17/2007;-0.377297675;;;;;
7/18/2007;0.418426189;;;;;
7/19/2007;-0.159061874;;;;;
7/20/2007;0.913838778;;;;;
7/23/2007;-1.09413521;;;;;
7/24/2007;0.920548468;;;;;
7/25/2007;-3.514283528;;;;;
7/26/2007;0.177690859;;;;;
7/27/2007;-1.995439761;;;;;
7/30/2007;-0.65987073;;;;;
7/31/2007;1.112275942;;;;;
08/01/2007;-0.230946075;;;;;
08/02/2007;0.032595735;;;;;
08/03/2007;0.317046578;;;;;
08/06/2007;-1.390554657;;;;;
08/07/2007;0.151118826;;;;;
08/08/2007;0.473104726;;;;;
08/09/2007;0.985457559;;;;;
08/10/2007;-1.15757265;;;;;
8/13/2007;-0.441035272;;;;;
8/14/2007;-0.118954369;;;;;
8/15/2007;-0.981301182;;;;;
8/16/2007;-0.971429356;;;;;
8/17/2007;-0.690334135;;;;;
8/20/2007;0.286447838;;;;;
8/21/2007;0.363194533;;;;;
8/22/2007;0.35956613;;;;;
8/23/2007;1.185122968;;;;;
8/24/2007;0.052167422;;;;;
8/27/2007;0.630678942;;;;;
8/28/2007;0.043637834;;;;;
8/29/2007;-0.866392606;;;;;
8/30/2007;0.612881032;;;;;
8/31/2007;0.069206498;;;;;
09/03/2007;1.075154454;;;;;
09/04/2007;0.102876975;;;;;
09/05/2007;0.237903854;;;;;
09/06/2007;-0.521976545;;;;;
09/10/2007;0.103058749;;;;;
09/11/2007;-1.357990354;;;;;
09/12/2007;0.726364693;;;;;
9/13/2007;-0.021179975;;;;;
